price,rooms,halls,area,orientation,decoration,floor_level,total_floor,building_type,community,subdistrict
3780000.0,3.0,2.0,118.16,"南,北,",简装,高,28.0,板楼,保利华都,虎泉杨家湾 
2150000.0,4.0,2.0,133.51,"南,",毛坯,低,32.0,塔楼,东原启城一期,白沙洲 
1680000.0,3.0,2.0,93.09,"南,",精装,中,33.0,板楼,保利心语九期,珞狮南路 
3550000.0,3.0,1.0,123.56,"南,北,",精装,中,34.0,板楼,保利华都,虎泉杨家湾 
1180000.0,3.0,1.0,95.65,"东南,",精装,低,33.0,板楼,美好长江首玺,白沙洲 
2490000.0,3.0,1.0,145.8,"南,",精装,中,27.0,板楼,花畔里,团结大道 
1950000.0,3.0,1.0,90.88,"南,",精装,,,板楼,保利拉菲,卓刀泉 
3080000.0,3.0,2.0,121.74,"南,北,",精装,中,32.0,板楼,招商雍华府,南湖沃尔玛 
1750000.0,3.0,2.0,97.42,"南,",精装,中,32.0,,保利心语八期,珞狮南路 
1580000.0,3.0,2.0,95.3,"南,",毛坯,高,34.0,,保利上城,白沙洲 
2150000.0,3.0,2.0,108.2,"南,北,",精装,低,34.0,塔楼,保利中央公馆,新南湖 
1140000.0,3.0,2.0,126.09,"南,北,",毛坯,高,24.0,板楼,湘龙鑫城,白沙洲 
1680000.0,3.0,2.0,108.52,"南,",毛坯,低,34.0,塔楼,喜瑞都,白沙洲 
3350000.0,3.0,2.0,109.94,"南,",精装,低,34.0,板楼,保利华都,虎泉杨家湾 
990000.0,2.0,2.0,83.19,"南,",精装,中,34.0,板楼,融科花满庭,白沙洲 
1590000.0,2.0,2.0,87.39,"南,",精装,低,18.0,板楼,金地格林小城梦茵区,南湖沃尔玛 
1200000.0,3.0,2.0,101.2,"南,北,",精装,高,7.0,板楼,钢都欧式花园二期,青山 
1420000.0,3.0,2.0,93.44,"东南,",精装,中,34.0,板楼,万科金色城市23地块,白沙洲 
1820000.0,3.0,2.0,97.01,"南,",精装,中,33.0,板楼,保利新武昌K4地块,白沙洲 
1770000.0,3.0,2.0,107.04,"南,",精装,中,26.0,板楼,东原乐见城二期,珞狮南路 
